"chaineid","Nom","Code","Numéro","parcours","year","label","Bilan ajouter",,"ajout1","ajout2",,,,,,,,,,,
"math*m1*M1 MFA Gr2","M1 MFA Groupe 2",,55514,"math","m1","M1 MFA Gr2",55502,"M1 MATH FONDAMENTALES APPLIQUEES",55502,,,,,,,,,,,,
"mathinfo*m1*M1 MISD","M1 MATHS ET APPLICATIONS - MATHS INFO SCIENCES DONNEES - GM","MAMA71",47495,"mathinfo","m1","M1 MISD",14588,,14588,,,,,,,,,,,,
"math*m1*M1 ISIFAR","M1 MATHS ET APPLICATIONS : ISIFAR - GM","MAMA11",28325,"math","m1","M1 ISIFAR",,,,,,,,,,,,,,,
"mathens*m1*M1 MEEF","M1 MEEF - MATHEMATIQUES - GM","MASD51",28473,"mathens","m1","M1 MEEF",,,,,,,,,,,,,,,
"mathens*m2*M2 DID Maths","M2 DIDACTIQUE SCIENCES - DIDACTIQUE MATHEMATIQUES - GM","MADQ22",28281,"mathens","m2","M2 DID Maths",,,,,,,,,,,,,,,
"mathens*m2*M2 DID M-SN","M2 DIDACTIQUE SCIENCES - DIDAC FORM (MATH SCIEN NAT) - GM","MADQ42",28315,"mathens","m2","M2 DID M-SN",,,,,,,,,,,,,,,
"mathens*m2*M2 DiID HG","M2 DIDACTIQUE SCIENCES - DIDACTIQUE HISTOIRE ET GEO - GM","MADQ12",28255,"mathens","m2","M2 DiID HG",,,,,,,,,,,,,,,
"mathens*m2*M2 DID SN","M2 DIDACTIQUE SCIENCES - DIDACTIQUE SCIENCES NATURE - GM","MADQ32",28301,"mathens","m2","M2 DID SN",,,,,,,,,,,,,,,
"math*m2*M2 LMFI","M2 MATHS ET APPLICATIONS - LOGIQUE MATH FONDEMENT INFO - GM","MAMA22",28347,"math","m2","M2 LMFI",,,,,,,,,,,,,,,
"mathinfo*m2*M2 MIC","M2 MATHS ET APPLICATIONS - MATH INFO APPLIC CRYPTO - GM","MAMA62",59404,"mathinfo","m2","M2 MIC",14617,,14617,,,,,,,,,,,,
"mathinfo*m2*M2 MISD","M2 MATHS ET APPLICATIONS - MATH INFO DONNEES MISD (DM)","MAMAB2",59188,"mathinfo","m2","M2 MISD",14620,,14620,,,,,,,,,,,,
"math*m2*M2 MO","M2 MATHS ET APPLICATIONS - MODELI FINANCE DATA SCI - GM","MAMA82",28457,"math","m2","M2 MO",,,,,,,,,,,,,,,
"math*m2*M2 MFA","M2 MATHS ET APPLICATIONS -MATHS FONDAMENTALES - GM","MAMA42",28376,"math","m2","M2 MFA",,,,,,,,,,,,,,,
